problemId,area,subArea,hasImage,images,text,matchedKeywords,notes
94,nondrug,food,False,,专利标识标注不规范（削瓜器）,削瓜器,
95,nondrug,food,True,IMG_7789.jpg,未取得食品经营许可证,食品,
96,nondrug,food,False,,未张贴上次食品监督检查结果记录,食品,
97,nondrug,food,True,IMG_7797.jpg,未配备专职或兼职初级食品安全管理人员,食品|食品安全,
98,nondrug,food,True,IMG_7789.jpg,无食品进货凭证,食品,
99,nondrug,food,True,IMG_7789.jpg,无食品供货商资质证明文件,食品,
100,nondrug,food,True,IMG_7789.jpg,无食品合格证明文件,食品,
101,nondrug,food,False,,食品未离地离墙、未远离污染源存放,食品,
102,nondrug,food,False,,食品超过保质期,食品,
103,nondrug,food,False,,销售港版奶粉,奶粉|港版奶粉,
104,nondrug,food,True,IMG_7787.jpg,散装食品标签不规范,食品|散装食品,
105,nondrug,food,False,,特殊食品与普通食品混放,食品|特殊食品,
106,nondrug,food,False,,未建立食品安全的规章制度,食品|食品安全,
107,nondrug,food,False,,未建立食品安全自查制度,食品|食品安全,
108,nondrug,food,True,IMG_7787.jpg,普通食品宣称保健功效,食品|保健,
109,nondrug,food,True,IMG_7787.jpg,普通食品宣称治疗功效,食品,
110,nondrug,food,False,,未设立专区销售特殊食品,食品|特殊食品,
111,nondrug,food,False,,保健食品销售专区无警示语,食品|保健,
112,nondrug,other,True,IMG_7787.jpg|IMG_7797.jpg,企业不能提供供货者的市场主体登记证明,unmatched-default,
113,nondrug,cosmetic,False,,企业不能提供化妆品的注册或者备案情况,化妆品,
114,nondrug,other,True,IMG_7787.jpg,企业不能提供产品出厂检验合格证明,unmatched-default,
115,nondrug,cosmetic,True,IMG_7787.jpg,化妆品标签不符合规定（无中文标签）,化妆品|中文标签,
116,nondrug,cosmetic,False,,化妆品未建立供货企业档案,化妆品|供货企业档案,
117,nondrug,cosmetic,False,,化妆品未按要求建立并执行进货查验记录制度、产品销售记录制度,化妆品|进货查验记录|产品销售记录,
118,nondrug,cosmetic,False,,化妆品未建立质量安全管理制度,化妆品|质量安全管理制度,
119,nondrug,cosmetic,True,IMG_7787.jpg,经营的化妆品超过有效期,化妆品,
120,nondrug,price,True,IMG_7792.jpg,未明码标价,明码标价,
121,nondrug,price,True,IMG_7790.jpg,价格欺诈（虚假折价）,价格欺诈|折价,
122,nondrug,ad,True,IMG_7791.jpg,药品广告无广告批文,广告批文,
123,drug,,True,IMG_7791.jpg,药品广告功效宣传不规范,药品广告,
124,drug,,True,IMG_7791.jpg|IMG_7797.jpg,药品广告未标明“请按药品说明书或者在药师指导下购买和使用”,药品广告|按药品说明书,
125,nondrug,ad,True,IMG_7790.jpg,抽奖式有奖销售，最高奖的金额超过五万元,抽奖|有奖销售,
126,nondrug,ad,True,IMG_7790.jpg,附赠式有奖销售，未公布奖品价格、奖品品名、奖品种类、奖品数量,有奖销售|附赠式,
127,nondrug,price,True,IMG_7792.jpg,规定经营者单方享有解释权或者最终解释权,解释权,
128,nondrug,other,False,,未取得《营业执照》,general-default,
